implementing_partners,activity,activity_new,activity_description,recode?,
Karuna Mission Social Solidarity,Cash for Work / Food for Assets,food/cash for work/assets,3500/person/day who participate in the projectimplementation,,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,Activity 4 - Assest creationg activity,,
Myanmar Heart Development Organization,Cash for Work / Food for Assets,food/cash for work/assets,Assets Creation,,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,Assets Creation,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Canal Construction,,
Myanmar Heart Development Organization,Cash for Work / Food for Assets,food/cash for work/assets,Cash Distribution,1,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Cash Distribution,1,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,Cash for Work (Cash Grants),,
Solidarités International,Cash for Work / Food for Assets,food/cash for work/assets,Cash for Work (CFW),,
Danish Refugee Council,Cash for Work / Food for Assets,food/cash for work/assets,Cash for Work through PPE production for 24 days (12 days in a month for 2 months),,
Action for Green Earth,Cash for Work / Food for Assets,food/cash for work/assets,Conditional cash-grant for assest creation to food insecure population,,
AVSI,Cash for Work / Food for Assets,food/cash for work/assets,Distribution of cash for demonstration plot,,
Solidarités International,Cash for Work / Food for Assets,food/cash for work/assets,Enbankment Extension,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Farm Land Development,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Flat land development,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Flat Land development,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Food Support for CPI affected family,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Food Support for fire affected family,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Food support for Orphan children,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Food support for Pregnant women and U-5 malnourished chidren,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Food Support for vulnerable families,,
AVSI,Cash for Work / Food for Assets,food/cash for work/assets,Green gram demonstration plot,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Handwashing Facility,,
Hakha Baptist Association (HBA),Cash for Work / Food for Assets,food/cash for work/assets,"In target IDP camps/locations, the basic food will be provided through provision of cash grants depending on access functioning of markets. In case of cash grants 12.500 MMK/month/person which is in line with the basked as advised by the cash working group in Yangon. The cash will be provided per person the direct distribution will be done involving the camp management but the partner remains responsible. Cash will be distributed in two tranches.",1,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Irrigation Canal Construction,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Irrigation canal construction,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Irrigation Canal Construction,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Local Chicken support,1,
Danish Refugee Council,Cash for Work / Food for Assets,food/cash for work/assets,Mask production and  distribution Mask,,
Danish Refugee Council,Cash for Work / Food for Assets,food/cash for work/assets,Mask production then distributed Mask for 1229 HH,,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,Motorbike road,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Motorbike Road Construction,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Motorbike Road Renovation,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Motorbike road renovation,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Motorbike Road renovation,,
Action for Green Earth,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
Arkan Research and Watch,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
Myanmar Heart Development Organization,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
People for People,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,NA,,
Solidarités International,Cash for Work / Food for Assets,food/cash for work/assets,Pond fence installation/renovation,,
Solidarités International,Cash for Work / Food for Assets,food/cash for work/assets,Pond safety stair installation,,
Karuna Mission Social Solidarity,Cash for Work / Food for Assets,food/cash for work/assets,Procurement and Distribution of Rice,1,
Kaw Lah Foundation,Cash for Work / Food for Assets,food/cash for work/assets,Provision of cash for livelihood,,
Myanmar Heart Development Organization,Cash for Work / Food for Assets,food/cash for work/assets,"Provision of Road Renovation Project  as community assets. Beneficiaries are benefiting MMK 3500/person/day whoever particpate in the project implementation. Depending on the duration of project implementation, targeted population will benefit cash for food assistances.",,
Myanmar Heart Development Organization,Cash for Work / Food for Assets,food/cash for work/assets,"Provision of RWCT Project  as community assets. Beneficiaries are benefiting MMK 3500/person/day whoever particpate in the project implementation. Depending on the duration of project implementation, targeted population will benefit cash for food assistances.",,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Rice support for CPI case,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Rice support for RC,,
World Vision Myanmar,Cash for Work / Food for Assets,food/cash for work/assets,Rice support for TTC HH,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Road construction,,
AVSI,Cash for Work / Food for Assets,food/cash for work/assets,Road rehabilitation,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Road renovation,,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Contour line Development and Terrace Land Development),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Contour line Development for sowing Elephant Food Yam and Terrace Land Development),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Contour line Development for sowing Elephant Food Yam),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Contour trench development),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Contour Trench Development),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Irrigation Canal Construction),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Lowland Development),,
Ar Yone Oo Social Development Association,Cash for Work / Food for Assets,food/cash for work/assets,SO 2 Activity 4 - Asset creation - 2.4.1 FFA (Manufacture Jeep road construction),,
CESVI Foundation,Cash for Work / Food for Assets,food/cash for work/assets,Soil and water conservation,,
WFP,Cash for Work / Food for Assets,food/cash for work/assets,Terrace Land Development Project,,
Indigenous People Partnership- IPP,Cash for Work / Food for Assets,food/cash for work/assets,Terrance Land Development,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Terrance Land development,,
Phyu Sin Saydanar Action Group,Cash for Work / Food for Assets,food/cash for work/assets,Terrance Land Development,,
Save the Children,Cash for Work / Food for Assets,food/cash for work/assets,Unconditional Cash Transfer to the beneficiaries,,1
Kyal Sin May,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural input distribution (Paddy+ Vegetable seeds +  Chicken feed + Fertilizer + Hoe),,
People for People,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural input distribution (Vegetable seeds +  Chicken feed + Fertilizer + Hoe),,
Sein Lei Ayeyar,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural input distribution (Vegetable seeds +  Chicken feed + Fertilizer + Hoe),,
Swan Saung Shin,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural input distribution (Vegetable seeds +  Chicken feed + Fertilizer + Hoe),,
People for People,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural inputs distribution ( Compound Fertilizer + Hygiene kits),,
Action for Green Earth,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agricultural inputs distribution ( Vegetable seeds + Fertilizer + Hygiene kits),,
Action for Green Earth,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits","Agricultural inputs distribution ( Vegetable seeds + Fertilizer + Hygiene kits). 30 Kg of Paddy, 90 g of vegetable seeds (6 types), 50 Kg of Compound fertilizer, Hygiene Kit",,
Alinn LDO,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Agri-distribution,,
Action Contre la Faim,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Distribution of agricultural input kit to paddy farmers,,
Action Contre la Faim,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Distribution of agricultural input kit to winter crop farmers,,
Action Contre la Faim,Provide crops & vegetables kits,provision of kitchen garden kits,Distribution of agricultural input kits to Home Gardening women beneficiaries,,
AVSI,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Distribution of EM concentrate,,
Da-Nu National Affairs organization (DNAO),Provide crops & vegetables kits,"provision of crop, vegetable and seed kits","Distribution of PPE, rice and horticulture kits",,
Action Contre la Faim,Provide crops & vegetables kits,community infrastructure and eqipment,Distribution of small tilling machine to farmer groups,,
Da-Nu National Affairs organization (DNAO),Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Distribution of Soybean processing kits,,
AVSI,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Distribution of training materials (IEC) and paddy seeds,,
AVSI,Provide crops & vegetables kits,provision of kitchen garden kits,Distribution of vegetable seeds for home gardening,,
Action Contre la Faim,Provide crops & vegetables kits,community infrastructure and eqipment,Distribution of water pumps to farmer groups,,
World Vision Myanmar,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",ECCD Garden support,,
World Vision Myanmar,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Gypsum support,,
ACTED,Provide crops & vegetables kits,provision of kitchen garden kits,"Home Gargening Training,4 Demo-plots in 8 Terget villages, Malnutrition Training, Agricultural Input Distribution,Seed Multiplication Training, Refresher Training and Monitoring in 8 villages",,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening distribution (only plastic bowl),,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening kit distribution,,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,home-gardening kits distribution,,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening kits distribution for the outstanding households,,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening master kit distribution,,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening refill kit distribution,,
Center for Social Integrity (CSI),Provide crops & vegetables kits,provision of kitchen garden kits,Home-gardening refill kits distribution,,
Da-Nu National Affairs organization (DNAO),Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Moringa plants and Home gardening kits,,
Norwegian Refugee Council,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Paddy Certified Seed,,
Helen Keller International,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits","provide seeds, saplings and agriculture technical training",,
Action for Green Earth,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Samll holder farmer support for monsoon paddy,,
