admin3_pcode,hrp_ierp,hrp_ben,ierp_ben,non_hrp_ben
MMR001001,hrp,102978,0,0
MMR001002,hrp,142655,0,0
MMR001003,hrp,641,0,0
MMR001004,hrp,15281,0,0
MMR001005,hrp,24831,0,0
MMR001007,hrp,5901,0,0
MMR001008,hrp,18484,0,0
MMR001009,hrp,46953,0,0
MMR001010,hrp,75058,0,0
MMR001011,hrp,4506,0,0
MMR001012,hrp,99885,0,0
MMR001013,hrp,67169,0,0
MMR001014,hrp,3766,0,0
MMR001015,hrp,1698,0,0
MMR002001,ierp,0,13385,0
MMR002001,non_hrp,0,0,6695
MMR002002,ierp,0,5268,0
MMR002002,non_hrp,0,0,2450
MMR002003,ierp,0,3768,0
MMR002004,ierp,0,137,0
MMR003001,ierp,0,7865,0
MMR003002,hrp,20329,0,0
MMR003004,ierp,0,3299,0
MMR003005,ierp,0,2662,0
MMR003005,non_hrp,0,0,7841
MMR003006,ierp,0,32174,0
MMR003006,non_hrp,0,0,3766
MMR003007,ierp,0,1342,0
MMR004002,ierp,0,2912,0
MMR004004,ierp,0,760,0
MMR004004,non_hrp,0,0,0
MMR004005,ierp,0,490,0
MMR004005,non_hrp,0,0,0
MMR004006,ierp,0,3540,0
MMR004009,hrp,128649,0,0
MMR005003,ierp,0,4106,0
MMR005004,ierp,0,4118,0
MMR005005,ierp,0,3392,0
MMR005006,ierp,0,2603,0
MMR005010,ierp,0,2228,0
MMR005011,ierp,0,1327,0
MMR005016,ierp,0,1932,0
MMR005017,ierp,0,4904,0
MMR005019,ierp,0,4594,0
MMR005035,ierp,0,6039,0
MMR005035,non_hrp,0,0,2921
MMR005036,ierp,0,4247,0
MMR005036,non_hrp,0,0,10988
MMR005037,ierp,0,8922,0
MMR005037,non_hrp,0,0,13178
MMR006001,ierp,0,50,0
MMR006003,ierp,0,4097,0
MMR006007,ierp,0,145,0
MMR006009,ierp,0,184,0
MMR007002,non_hrp,0,0,2403
MMR007003,non_hrp,0,0,2456
MMR007004,non_hrp,0,0,3758
MMR007011,hrp,4357,0,0
MMR009001,ierp,0,44,0
MMR009001,non_hrp,0,0,16809
MMR009002,ierp,0,657,0
MMR009002,non_hrp,0,0,11855
MMR009003,ierp,0,2698,0
MMR009003,non_hrp,0,0,10006
MMR009005,ierp,0,100039,0
MMR009005,non_hrp,0,0,62450
MMR009006,ierp,0,42,0
MMR009007,ierp,0,40,0
MMR009007,non_hrp,0,0,12864
MMR009010,ierp,0,92800,0
MMR009010,non_hrp,0,0,46380
