admin3_pcode,n_distinct(implementing_partners)
MMR001001,6
MMR001002,10
MMR001003,2
MMR001004,3
MMR001005,4
MMR001007,2
MMR001008,4
MMR001009,3
MMR001010,9
MMR001011,4
MMR001012,11
MMR001013,8
MMR001014,3
MMR001015,1
MMR002001,5
MMR002002,5
MMR002003,2
MMR002004,1
MMR003001,1
MMR003002,3
MMR003004,3
MMR003005,2
MMR003006,3
MMR003007,1
MMR004002,1
MMR004004,1
MMR004005,1
MMR004006,2
MMR004009,2
MMR005003,1
MMR005004,2
MMR005005,2
MMR005006,2
MMR005010,1
MMR005011,1
MMR005016,1
MMR005017,1
MMR005019,1
MMR005035,2
MMR005036,2
MMR005037,2
MMR006001,1
MMR006003,1
MMR006007,1
MMR006009,1
MMR007002,1
MMR007003,1
MMR007004,1
MMR007011,2
MMR009001,1
MMR009002,2
MMR009003,2
MMR009005,2
MMR009006,1
MMR009007,1
MMR009010,2
MMR009018,1
MMR009022,2
MMR009025,1
MMR010001,2
MMR010003,1
MMR010005,1
MMR010006,1
MMR010009,1
MMR010017,1
MMR010018,1
MMR010022,1
MMR010028,1
MMR010029,1
MMR010030,1
MMR010031,1
MMR011001,2
MMR011002,2
MMR011003,1
MMR011007,1
MMR011008,3
MMR011009,2
MMR011010,3
MMR012001,12
MMR012002,3
MMR012003,4
MMR012004,2
MMR012005,2
MMR012006,3
MMR012007,6
MMR012008,4
MMR012009,7
MMR012010,6
MMR012011,1
MMR012014,1
MMR013003,1
MMR013004,1
MMR013005,1
MMR013007,4
MMR013008,7
MMR013012,7
MMR013018,1
MMR013021,2
MMR013023,1
MMR013030,7
MMR014001,2
MMR014003,1
MMR014004,2
MMR014005,2
MMR014006,1
MMR014007,1
MMR014009,1
MMR014010,3
MMR014011,1
MMR014012,1
MMR014013,2
MMR014019,1
MMR014021,1
MMR015001,1
MMR015002,3
MMR015009,1
MMR015010,2
MMR015011,3
MMR015012,2
MMR015013,1
MMR015014,1
MMR015015,3
MMR015016,1
MMR015019,1
MMR015022,4
MMR015023,2
MMR015305,1
MMR015306,1
MMR015307,1
MMR015308,1
MMR015309,1
MMR015312,1
MMR015313,1
MMR015315,1
MMR015316,1
MMR016321,1
MMR017001,1
MMR017002,1
MMR017003,1
MMR017007,1
MMR017009,1
MMR017012,1
MMR017014,2
MMR017015,2
MMR017016,2
MMR017017,1
MMR017018,2
MMR017019,1
MMR017020,2
MMR017023,1
MMR017024,2
