date,reporting_organization,implementing_partners,state,admin1_pcode,township,admin3_pcode,location,location_type,admin5_pcode,activity,delivery_modality,beneficiary_type,unique_beneficiaries,beneficiaries
2021-01-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,hpa yar pyin aung pa,ward_towwn,NA,Provide support for income generation,Cash,Host/local Community,Yes,1252
2021-01-01,Danish Refugee Council,Danish Refugee Council,Rakhine,MMR012,Maungdaw,MMR012009,ka nyin tan (a) myo ma ka nyin tan,ward_towwn,NA,Cash for Work / Food for Assets,Cash,Host/local Community,Yes,413
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,pike seik,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,154
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,myin kyan,ward_towwn,197554,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,510
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ma dae,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,712
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,sin aing,ward_towwn,161512,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,368
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,taw tan,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,389
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,pein hne chaung,ward_towwn,158900,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,250
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ma nyin kaing (low),ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,632
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ma nyin kaing (upper),ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,213
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,kyar kan,ward_towwn,155216,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,399
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,na ga myaung,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,322
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,baw da li,ward_towwn,197550,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,417
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,thar zay kone,ward_towwn,197415,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,291
